2019-05-06 11:46:12.098 [main] INFO  com.neuedu.SpringBoot001hs.Applic - Starting Applic on huangshuaideMacBook-Pro.local with PID 12183 (/Users/tnoyh/Studio/IDEA/SpringBoot/SpringBoot001hs/target/classes started by tnoyh in /Users/tnoyh/Studio/IDEA/SpringBoot/SpringBoot001hs)
2019-05-06 11:46:12.100 [main] INFO  com.neuedu.SpringBoot001hs.Applic - No active profile set, falling back to default profiles: default
2019-05-06 11:46:12.945 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 80 (http)
2019-05-06 11:46:12.955 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-80"]
2019-05-06 11:46:12.961 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2019-05-06 11:46:12.962 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.17]
2019-05-06 11:46:13.018 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2019-05-06 11:46:13.018 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 879 ms
2019-05-06 11:46:13.170 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-06 11:46:13.278 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-80"]
2019-05-06 11:46:13.310 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 80 (http) with context path ''
2019-05-06 11:46:13.312 [main] INFO  com.neuedu.SpringBoot001hs.Applic - Started Applic in 1.602 seconds (JVM running for 2.311)
2019-05-06 16:23:46.095 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Starting GoodsServiceTest on huangshuaideMacBook-Pro.local with PID 12426 (started by tnoyh in /Users/tnoyh/Studio/IDEA/SpringBoot/SpringBoot001hs)
2019-05-06 16:23:46.097 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - No active profile set, falling back to default profiles: default
2019-05-06 16:23:47.564 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-06 16:23:47.805 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Started GoodsServiceTest in 2.336 seconds (JVM running for 3.241)
2019-05-06 16:23:47.985 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Before
2019-05-06 16:23:47.986 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Test
2019-05-06 16:23:47.987 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - After
2019-05-06 16:23:47.991 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2019-05-06 16:51:24.788 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Starting GoodsServiceTest on huangshuaideMacBook-Pro.local with PID 12490 (started by tnoyh in /Users/tnoyh/Studio/IDEA/SpringBoot/SpringBoot001hs)
2019-05-06 16:51:24.791 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - No active profile set, falling back to default profiles: default
2019-05-06 16:51:26.033 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2019-05-06 16:51:26.268 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Started GoodsServiceTest in 2.033 seconds (JVM running for 2.837)
2019-05-06 16:51:26.435 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - Before
2019-05-06 16:51:26.436 [main] INFO  c.neuedu.SpringBoot001hs.service.GoodsServiceTest - After
2019-05-06 16:51:26.440 [Thread-2] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
